epoch,loss,Accuracy,F1_Macro,F1_Weighted,MCC,FPR,FNR,TP,TN,FP,FN
1,0.219769,0.962389241104627,0.9505963476499781,0.9629666709159657,0.9030494206981642,0.040683333333333335,0.028077977144630024,18796,57559,2441,543
2,0.076693,0.9639143422528643,0.9529320333354736,0.9645840441613275,0.9086509528635522,0.043333333333333335,0.013599462226588758,19076,57400,2600,263
3,0.049608,0.9847615926593478,0.9794043772771339,0.9847876743969491,0.9588306950836886,0.011716666666666667,0.02616474481617457,18833,59297,703,506
4,0.035015,0.9853287790367915,0.9802757847058508,0.9853921978465331,0.9606938469055402,0.0139,0.017063964010548632,19009,59166,834,330
5,0.026265,0.9711617237424217,0.9622085455996658,0.9716356159692595,0.9265938137456169,0.0361,0.006308495785717979,19217,57834,2166,122
6,0.020717,0.9888831470021049,0.9848405159932615,0.9888525591323253,0.9697367227844632,0.0047666666666666664,0.030818553182687832,18743,59714,286,596
7,0.017348,0.9874084624207514,0.9830405739474339,0.9874515294713154,0.9661700617878085,0.011633333333333334,0.015564403536894358,19038,59302,698,301
8,0.013698,0.9880512736485209,0.9839271222876391,0.988099709773887,0.967979750824911,0.011833333333333333,0.012306737680335075,19101,59290,710,238
9,0.011722,0.9837154488965074,0.978275029198393,0.9838467216484604,0.9570551406561575,0.01875,0.00863539996897461,19172,58875,1125,167
10,0.009003,0.9885176268921968,0.9845525817502414,0.9885634957844002,0.9692271012316206,0.011466666666666667,0.011531102952582863,19116,59312,688,223
11,0.007526,0.9896772079305259,0.9860833687806319,0.9897077820370892,0.9722334902762081,0.009683333333333334,0.012306737680335075,19101,59419,581,238
12,0.00583,0.9853413831785125,0.980400219953395,0.9854437142273307,0.9611776783062714,0.016566666666666667,0.008738817932674905,19170,59006,994,169
13,0.00457,0.9876479411134499,0.9834130331224271,0.9877083658526769,0.9670096469045254,0.012933333333333333,0.010548632297430064,19135,59224,776,204
14,0.00343,0.991719078889323,0.9887702834587921,0.9917194415412601,0.9775405813180038,0.005516666666666666,0.016857128083148043,19013,59669,331,326
15,0.00234,0.9902948108748535,0.9869017255503185,0.9903183383727082,0.9738480768880126,0.00875,0.012668700553286106,19094,59475,525,245
16,0.002148,0.9907485599768083,0.9875089198183158,0.9907690858493631,0.9750552028506604,0.00825,0.012358446662185222,19100,59505,495,239
17,0.001945,0.9916560581807182,0.9887118660567848,0.9916663761866314,0.977435290932346,0.0067,0.013444335281038316,19079,59598,402,260
18,0.001468,0.9916308498972762,0.9886765795449989,0.9916407642900684,0.9773637634644916,0.006666666666666667,0.013651171208438905,19075,59600,400,264
19,0.001208,0.9916434540389972,0.9886957988442474,0.991654149238524,0.9774039824450841,0.00675,0.013340917317338021,19081,59595,405,258
20,0.00098,0.9918451203065327,0.9889593665614407,0.9918521635889341,0.9779243616015909,0.006216666666666666,0.01416826102694038,19065,59627,373,274
