epoch,loss,Accuracy,F1_Macro,F1_Weighted,MCC,FPR,FNR,TP,TN,FP,FN
1,0.187989,0.9746404668574093,0.9654479249875451,0.9745816137437591,0.9309345679108124,0.014583333333333334,0.05879311236361756,18202,59125,875,1137
2,0.058743,0.9823289933072007,0.9758583257994777,0.9822637746499103,0.9518151889090795,0.008233333333333334,0.04695175551993381,18431,59506,494,908
3,0.039448,0.9715020355688879,0.962461171567939,0.971902577237309,0.926488295637511,0.033216666666666665,0.013858007135839494,19071,58007,1993,268
4,0.029143,0.9863749227996319,0.9815797675961409,0.9863963635874737,0.9631781188434455,0.010516666666666667,0.023269041832566315,18889,59369,631,450
5,0.023279,0.9876227328300079,0.9831801349931824,0.9876103120782386,0.9663677332795833,0.007233333333333333,0.02833652205388076,18791,59566,434,548
6,0.019042,0.9891604381199662,0.985301295672723,0.9891611975507482,0.9706026280428965,0.007233333333333333,0.02202802626816278,18913,59566,434,426
7,0.015499,0.988845334576942,0.9847740775606502,0.9888091134291102,0.969625505076629,0.004333333333333333,0.03231811365634211,18714,59740,260,625
8,0.012813,0.9874966914127983,0.9831654986922816,0.9875416790766697,0.9664295122880484,0.01175,0.014840477790992295,19052,59295,705,287
9,0.010201,0.9898662700563405,0.9862833746660584,0.9898761663369815,0.9725739251609931,0.007633333333333333,0.01789130772015099,18993,59542,458,346
10,0.007888,0.9861354441069335,0.9814137271217761,0.9862147907726173,0.9630793435171656,0.014766666666666668,0.011065722115931537,19125,59114,886,214
11,0.006882,0.9897780410642937,0.9862040460711724,0.9898027338631418,0.972452361684604,0.009083333333333334,0.0137545891721392,19073,59455,545,266
12,0.005369,0.9917064747476021,0.9887101605513997,0.9916909334707299,0.9774464057581467,0.0037166666666666667,0.022493407104814105,18904,59777,223,435
13,0.003862,0.990055332182155,0.9865838630243065,0.9900813952961555,0.9732199220037969,0.0091,0.012565282589585811,19096,59454,546,243
14,0.003055,0.9918703285899747,0.9889294927692314,0.9918537157298898,0.9778899848410972,0.00345,0.022648534050364547,18901,59793,207,438
15,0.002146,0.9908115806854132,0.9876019565625327,0.9908348768573316,0.9752528009877405,0.008516666666666667,0.011272558043332126,19121,59489,511,218
16,0.001499,0.9919459534403005,0.9890886433573092,0.9919502464431346,0.9781794267697654,0.005833333333333334,0.01494389575469259,19050,59650,350,289
17,0.001343,0.9920972031409521,0.9892886828815716,0.9920996227296164,0.9785780711142462,0.005516666666666666,0.015305858627643621,19043,59669,331,296
18,0.000892,0.9922610569833247,0.9895054411321883,0.9922614636662693,0.9790109030197808,0.005166666666666667,0.015719530482444802,19035,59690,310,304
19,0.000774,0.9924627232508603,0.9897728214430002,0.9924608722038789,0.9795460955846048,0.00475,0.016184911319096128,19026,59715,285,313
20,0.000686,0.9923744942588134,0.9896590890297858,0.9923748282077053,0.9793181924763835,0.005083333333333333,0.01551269455504421,19039,59695,305,300
