epoch,loss,Accuracy,F1_Macro,F1_Weighted,MCC,FPR,FNR,TP,TN,FP,FN
1,0.191504,0.9694889053975972,0.9690330303103409,0.9694298099567605,0.93855982907004,0.013370798718575229,0.05169896803423106,56514,72683,985,3081
2,0.065431,0.977443101235902,0.9771563374165815,0.9774266225434515,0.9543957389778059,0.01457892164847695,0.03241882708280896,57663,72594,1074,1932
3,0.046912,0.9789664047785207,0.9786847774272482,0.9789435149722578,0.9575449671516972,0.01057446924037574,0.03396258075341891,57571,72889,779,2024
4,0.03937,0.9819079564470258,0.9816824549126582,0.9818970824720491,0.9634225112843637,0.011524678286365858,0.026210252537964593,58033,72819,849,1562
5,0.033031,0.98196798811373,0.9817280173502173,0.9819491480832525,0.9636192099263958,0.008171797795515013,0.03022065609531001,57794,73066,602,1801
6,0.029181,0.981975492072068,0.9817280154730122,0.9819525778676548,0.9636902915272411,0.006556442417331813,0.032200687977179294,57676,73185,483,1919
7,0.02374,0.983273676864546,0.9830662243658053,0.9832641551464681,0.9661844480539576,0.010533745995547591,0.024381240036915847,58142,72892,776,1453
8,0.021155,0.9840390806150244,0.9838500368287438,0.9840345570953778,0.9677135733780139,0.012094803713959929,0.02073999496602064,58359,72777,891,1236
9,0.016866,0.984234183531813,0.9840596603397352,0.9842357980966278,0.968121205618378,0.015135472661128305,0.01654501216545012,58609,72553,1115,986
10,0.013742,0.9850296031156435,0.9848564959605841,0.9850274769398899,0.9697164670462728,0.012352717597871531,0.018206225354476045,58510,72758,910,1085
11,0.01136,0.9853597772825166,0.9851814236098049,0.9853531042689068,0.9703968526546962,0.00952923928978661,0.020958134071650307,58346,72966,702,1249
12,0.00912,0.985202194157418,0.9850309612178945,0.9852000316702845,0.9700655996947937,0.012162675788673508,0.018055205973655508,58519,72772,896,1076
13,0.007127,0.9857799989494458,0.9856123776484966,0.9857763747680919,0.9712357439678502,0.010750936634631048,0.018508264116117123,58492,72876,792,1103
14,0.006239,0.9856149118660094,0.9854463925107692,0.9856117741625332,0.9709008817609778,0.011198892327740675,0.018323684872892022,58503,72843,825,1092
15,0.005798,0.9856974554077276,0.9855295955432521,0.9856941807778903,0.9710680966069914,0.011035999348428083,0.018340464804094302,58502,72855,813,1093
