epoch,loss_G,loss_D,reward_G_paper
1,0.207406,0.693741,-0.207406
2,2.8e-05,0.202501,-2.8e-05
3,0.0,0.10004,-0.0
4,0.0,0.070081,-0.0
5,0.0,0.055191,-0.0
6,0.0,0.045251,-0.0
7,0.0,0.038023,-0.0
8,0.0,0.032581,-0.0
9,0.0,0.028165,-0.0
10,0.0,0.025354,-0.0
11,0.0,0.022691,-0.0
12,0.0,0.020534,-0.0
13,0.0,0.018748,-0.0
14,0.0,0.01723,-0.0
15,0.0,0.016374,-0.0
16,0.0,0.015192,-0.0
17,0.0,0.014534,-0.0
18,0.0,0.013558,-0.0
19,0.0,0.013098,-0.0
20,0.0,0.012413,-0.0
21,0.0,0.011939,-0.0
22,0.0,0.011384,-0.0
23,0.0,0.010989,-0.0
24,0.0,0.010653,-0.0
25,0.0,0.010117,-0.0
26,0.0,0.009763,-0.0
27,0.0,0.009569,-0.0
28,0.0,0.009168,-0.0
29,0.0,0.009021,-0.0
30,0.0,0.008943,-0.0
31,0.0,0.008442,-0.0
32,0.0,0.008358,-0.0
33,0.0,0.008134,-0.0
34,0.0,0.007912,-0.0
35,0.0,0.00749,-0.0
36,0.0,0.007412,-0.0
37,0.0,0.007358,-0.0
38,0.0,0.007024,-0.0
39,0.0,0.006731,-0.0
40,0.0,0.006606,-0.0
41,0.0,0.006527,-0.0
42,0.0,0.006281,-0.0
43,0.0,0.006268,-0.0
44,0.0,0.00614,-0.0
45,0.0,0.005805,-0.0
46,0.0,0.005798,-0.0
47,0.0,0.005488,-0.0
48,0.0,0.005536,-0.0
49,0.0,0.005556,-0.0
50,0.0,0.005462,-0.0
51,0.0,0.005098,-0.0
52,0.0,0.005072,-0.0
53,0.0,0.005089,-0.0
54,0.0,0.004798,-0.0
55,0.0,0.004993,-0.0
56,0.0,0.004946,-0.0
57,0.0,0.004808,-0.0
58,0.0,0.004548,-0.0
59,0.0,0.004834,-0.0
60,0.0,0.004466,-0.0
61,0.0,0.004466,-0.0
62,0.0,0.004402,-0.0
63,0.0,0.004377,-0.0
64,0.0,0.004364,-0.0
65,0.0,0.004109,-0.0
66,0.0,0.004134,-0.0
67,0.0,0.0041,-0.0
68,0.0,0.003985,-0.0
69,0.0,0.003783,-0.0
70,0.0,0.003659,-0.0
71,0.0,0.003655,-0.0
72,0.0,0.004035,-0.0
73,0.0,0.003889,-0.0
74,0.0,0.003599,-0.0
75,0.0,0.003494,-0.0
76,0.0,0.003674,-0.0
77,0.0,0.00344,-0.0
78,0.0,0.003488,-0.0
79,0.0,0.003378,-0.0
80,0.0,0.003407,-0.0
81,0.0,0.003608,-0.0
82,0.0,0.003378,-0.0
83,0.0,0.003153,-0.0
84,0.0,0.003079,-0.0
85,0.0,0.003276,-0.0
86,0.0,0.003269,-0.0
87,0.0,0.003051,-0.0
88,0.0,0.003075,-0.0
89,0.0,0.002896,-0.0
90,0.0,0.003214,-0.0
91,0.0,0.002868,-0.0
92,0.0,0.002716,-0.0
93,0.0,0.003127,-0.0
94,0.0,0.002995,-0.0
95,0.0,0.003149,-0.0
96,0.0,0.00262,-0.0
97,0.0,0.002895,-0.0
98,0.0,0.002854,-0.0
99,0.0,0.002808,-0.0
100,0.0,0.00286,-0.0
