rank,feature,f1_drop_mean,f1_drop_std,group
1,path_depth,0.011406860485335036,0.0004787910757487698,Structural / URL-level
2,shannon_entropy_query,0.00797918534872255,0.0003493943816685617,Structural / URL-level
3,shannon_entropy_path,0.004499692873034489,0.0006115042776841876,Structural / URL-level
4,is_common_tld,0.003195240344000605,0.0004050674911368456,TLD signals
5,query_length_normalized,0.0022872171459970003,0.0001300723421254111,Structural / URL-level
6,shannon_entropy_url,0.0014662051998846736,0.0002394692011121891,Structural / URL-level
7,special_char_ratio,0.001135975302215031,0.0003095904146263743,Basic (domain structure)
8,is_suspicious_tld,0.0009267502207237488,0.00035283895526996736,TLD signals
9,shortest_part,0.0007228539524426258,0.00014111559790816908,Basic (domain structure)
10,unique_char_ratio,0.0006504355649310956,0.00019437577838933936,Entropy & complexity
11,query_param_count,0.0004641797583428975,7.411320465916345e-05,Structural / URL-level
12,path_length_normalized,0.0004534118003342691,7.796028146245361e-05,Structural / URL-level
13,dash_count,0.0004429393126576198,0.00016136893347746406,Basic (domain structure)
14,is_country_tld,0.00043206328621481216,0.00019893405657336492,TLD signals
15,has_fragment,0.0003951739907925189,0.00012539845072291698,Structural / URL-level
16,path_special_ratio,0.00038303115514362054,9.346966143272495e-05,Structural / URL-level
17,url_length_normalized,0.00033960847392031643,0.00015488062953120023,Structural / URL-level
18,tld_length,0.00033133071256949973,0.00017370369816377634,TLD signals
19,fragment_length_normalized,0.00032176261693848127,0.00011335345172972325,Structural / URL-level
20,cse_keyword_count,0.00030132180559243603,0.00020950139369993925,CSE pattern / brand
21,domain_parts,0.0001917441601605008,0.00023545317216557967,Basic (domain structure)
22,vowel_count,0.00018883219145933162,0.0002006018549237859,Basic (domain structure)
23,is_https,0.00018211974344730652,6.844251626948939e-05,Lexical patterns
24,trigram_count,0.00017964585536016652,8.777256241230381e-05,Entropy & complexity
25,file_extension_type,0.00017125139041347382,5.155133400545337e-05,Structural / URL-level
26,is_indian_tld,0.00016184681854700678,2.0160473015407022e-05,TLD signals
27,part_length_std,0.00013296136949725312,0.00014877544209744556,Entropy & complexity
28,login_keyword,0.00012057037152830574,8.79317563803776e-05,CSE pattern / brand
29,subdomain_count,0.00012040100534704834,0.00010361657597945108,Lexical patterns
30,subdomain_length,0.00011088311115932114,5.8776490639546834e-05,Structural / URL-level
31,update_keyword,0.00011071578047152641,0.0001254171409457342,CSE pattern / brand
32,account_keyword,0.00010001928847835906,7.119624424143407e-05,CSE pattern / brand
33,has_port,9.940576930318467e-05,0.00017203584994569785,Lexical patterns
34,phishing_pattern_count,9.134038029741109e-05,5.902967185239801e-05,CSE pattern / brand
35,path_digit_ratio,9.10032366260971e-05,3.771726669067191e-05,Structural / URL-level
36,has_consecutive_chars,9.09477938179526e-05,3.792697693001831e-05,Basic (domain structure)
37,bank_keyword,7.09545940896561e-05,0.00010406169154078005,CSE pattern / brand
38,has_punycode,6.772620557882192e-05,0.0001879808751317355,Lexical patterns
39,vowel_consonant_ratio,5.006446857676039e-05,0.00017188460922279084,Entropy & complexity
40,char_entropy,3.810025101065317e-05,0.00022696112731394546,Entropy & complexity
41,domain_length,3.7879653886396805e-05,0.0001334767636630679,Basic (domain structure)
42,path_slash_count,3.024059699949788e-05,6.836820672913996e-05,Structural / URL-level
43,bigram_entropy,1.98821580847941e-05,7.554520897970811e-05,Entropy & complexity
44,digit_ratio,1.8770692043279526e-05,0.0001647556924065759,Basic (domain structure)
45,consonant_count,1.871420641388344e-05,0.00013763654169834084,Basic (domain structure)
46,unique_trigram_ratio,1.0582532624137108e-05,0.00011256448838207963,Entropy & complexity
47,part_length_variance,1.0136328282972506e-05,2.0272656565945012e-05,Entropy & complexity
48,query_special_ratio,1.0024835862765258e-05,6.704309984204011e-05,Structural / URL-level
49,consonant_clusters,9.355628864837762e-06,0.0001292278261419342,Entropy & complexity
50,has_nonstandard_port,8.188877544146323e-06,0.00019510828747945703,Lexical patterns
51,dictionary_word_count,0.0,0.0,Lexical patterns
52,brand_keyword_count,0.0,0.0,CSE pattern / brand
53,uppercase_count,0.0,0.0,Basic (domain structure)
54,payment_keyword,-5.603543298260405e-08,5.5263666514788507e-05,CSE pattern / brand
55,secure_keyword,-1.6710462567015582e-07,5.531426483801492e-05,CSE pattern / brand
56,verify_keyword,-1.0191743052856416e-05,3.7836658658801784e-05,CSE pattern / brand
57,longest_part,-2.9072412242103774e-05,9.381175777772532e-05,Basic (domain structure)
58,underscore_count,-2.9741320298137807e-05,5.158903432797202e-05,Basic (domain structure)
59,digit_count,-3.124128766092138e-05,0.00010864818711851496,Basic (domain structure)
60,has_www,-4.004465222458009e-05,5.8972546537030006e-05,Lexical patterns
61,has_subdomain,-5.028812793412829e-05,9.639756632116487e-05,Lexical patterns
62,is_ip_address,-7.006145811694342e-05,0.0001936728346183672,Lexical patterns
63,dot_count,-7.045311344227035e-05,0.00014516749091428568,Basic (domain structure)
64,avg_part_length,-0.00010307676676581944,0.00025703893944121787,Basic (domain structure)
65,has_unicode,-0.000143052237304242,0.0001480529577352586,Lexical patterns
66,num_subdomains,-0.0001824980246859287,0.00011360882158340073,Lexical patterns
67,transition_entropy,-0.00023296029867616585,0.0001736722983778472,Entropy & complexity
